ACFT_ID,Op Type,Flap_ID,B,C,D,R
7478,A,F_10,,,,0.083321
7478,A,F_20,,,0.19266,0.128462
7478,A,F_30,,,0.189605,0.143406
7478,D,F_0,,,,0.052717
7478,D,F_1,,,,0.064841
7478,D,F_10,0.002,0.20476,,0.083321
7478,D,F_5,,,,0.073443
