Spectral Class ID,Op Type,Description,L_50Hz,L_63Hz,L_80Hz,L_100Hz,L_125Hz,L_160Hz,L_200Hz,L_250Hz,L_315Hz,L_400Hz,L_500Hz,L_630Hz,L_800Hz,L_1000Hz,L_1250Hz,L_1600Hz,L_2000Hz,L_2500Hz,L_3150Hz,L_4000Hz,L_5000Hz,L_6300Hz,L_8000Hz,L_10000Hz
107,Departure,4-Engine.Tfan,58.6,62.7,69.1,74.1,76.0,74.3,74.1,74.4,74.0,73.6,73.2,72.3,71.7,70.0,69.1,69.4,69.6,73.6,67.7,63.1,58.3,51.5,44.2,34.7
205,Approach,2-Engine.HighByPass.Tfan,68.3,60.7,64.6,67.4,78.4,74.8,71.4,72.4,72.0,72.4,71.6,72.0,71.0,70.0,68.9,67.2,65.8,64.4,63.0,62.0,60.6,54.4,48.5,39.0
