ACFT_ID,Thrust Rating,E,F,Ga,Gb,H,K1,K2,K3,K4
7478,IdleApproach,5920.0,-19.02,0.225,0,0,,,,
7478,MaxClimb,50523.0,-39.86628,0.842437,-1.5E-5,0,,,,
7478,MaxClimbHiTemp,56739.2,-27.46902,-0.141096,-1.5E-5,-343.13652,,,,
7478,MaxTakeoff,64247.2,-66.06621,0.481932,4.0E-6,0,,,,
7478,MaxTkoffHiTemp,80923.7,-71.31622,-0.30655,-1.0E-5,-520.46445,,,,
