Spectral Class ID,Op Type,Description,L_50Hz,L_63Hz,L_80Hz,L_100Hz,L_125Hz,L_160Hz,L_200Hz,L_250Hz,L_315Hz,L_400Hz,L_500Hz,L_630Hz,L_800Hz,L_1000Hz,L_1250Hz,L_1600Hz,L_2000Hz,L_2500Hz,L_3150Hz,L_4000Hz,L_5000Hz,L_6300Hz,L_8000Hz,L_10000Hz
103,Departure,2-Engine.HighByPass.Tfan,56.7,66.1,70.1,72.8,76.6,73,74.5,77,75.3,72.2,72.2,71.2,70.2,70,69.6,71.1,70.6,67.1,63.4,63.5,58.2,51.5,42.3,37.7
205,Approach,2-Engine.HighByPass.Tfan,68.3,60.7,64.6,67.4,78.4,74.8,71.4,72.4,72,72.4,71.6,72,71,70,68.9,67.2,65.8,64.4,63,62,60.6,54.4,48.5,39
