ACFT_ID,Thrust Rating,E,F,Ga,Gb,H,K1,K2,K3,K4
A320-232,IdleApproach,1138.9,-6.52566,0.1667,-9.26E-06,0,,,,
A320-232,IdleApproachHiTemp,1138.9,-6.52566,0.1667,-9.26E-06,0,,,,
A320-232,MaxClimb,15539.2,-4.08932,0.438331,-1.44E-05,0,,,,
A320-232,MaxClimbHiTemp,14111.4,10.67953,0,0,-82.2,,,,
A320-232,MaxTakeoff,24746.2,-25.24732,0.304165,9.25E-06,0,,,,
A320-232,MaxTkoffHiTemp,29506.5,-24.41651,0,0,-139,,,,
